index,Skyrmion-Skyrmion distance [pixel],$\Psi_6$ [1],$\Psi_4$ [1]
16,16.334295495081108,0.13218867068606402,0.10953381380946546
21,10.908250673614434,0.5366542597881631,0.5459613112889157
22,16.76409007542955,0.22043349773836612,0.659059083282086
23,16.717902813603576,0.3900074436329557,0.39602054498104616
26,10.581781585263737,0.4926993937824716,0.6534803419356439
29,14.213335992801381,0.1292558226929861,0.11429983419694704
32,13.804270456159367,0.6032540024829735,0.21629934604370038
35,12.251236120258634,0.1599454846927705,0.08183634532924036
36,13.178354644465298,0.34149777432537015,0.4736214143742133
37,11.228133963677095,0.5606263184899622,0.3718355432991516
38,12.982984733209483,0.5382077938239935,0.7147097189211399
42,14.428368418998044,0.5935725159249734,0.5584068920743297
43,15.451657449210607,0.35332861231806123,0.4262206129261549
44,12.582291120532801,0.5257052512477695,0.26843084648876675
45,15.143893462649396,0.3740938214558459,0.511073555937583
46,16.68380960538499,0.18511872124385692,0.09209358676621598
47,16.272683011405995,0.22696000650648543,0.6773527250809592
48,13.504741894884914,0.3289495164597435,0.5319951252883688
50,19.636020154904873,0.3351238690639969,0.257364054609522
51,14.528300042864359,0.2149185793119583,0.4481379320887543
52,15.741269050503673,0.4446070742995781,0.5403033177980526
53,13.936988208732283,0.25755192055184273,0.3176257004934451
54,15.141205553926362,0.4991358367997764,0.31547416574515863
55,15.411736564816017,0.32660992568118713,0.24232819377343495
56,14.724589518412666,0.14171886539373077,0.5966771896173055
57,16.257222955813813,0.3899543438924542,0.856595249668407
58,11.879679539592367,0.415420825915049,0.2307524119834322
59,14.520753552889197,0.39975644374459496,0.28680910167277995
60,11.84708606769795,0.22001446851927386,0.8281227553446098
61,16.561466049819295,0.6327049761753271,0.33471833923404476
62,18.154371145651773,0.34673965616479274,0.33862072046589503
65,15.83928149012185,0.44389760352323926,0.4510909149646643
66,13.981746570608232,0.62550989400009,0.6814462213368688
68,15.905771480537458,0.505822529620658,0.5686055224938633
69,10.462739703472462,0.3131341035418967,0.3615253499647681
71,14.754641218545968,0.4266030881485372,0.23077840570400293
72,17.115987907493878,0.49946513030797035,0.08302956718285256
73,16.06212437223588,0.44147608147733447,0.13160572539651
