index,$p_x$ [pixel],$p_y$ [pixel],Skyrmion diameter $d_A=2\sqrt{A/\pi}$ [pixel],Skyrmion manjor axis $a_1$ [pixel],Skyrmion minor axis $a_2$ [pixel],Skyrmion orientation [°],Skyrmion ellipticity $(a_1-a_2)/a_1$ [1],Skyrmion convex hull diameter $d_H$ [1],Skyrmion diameter to convex hull diameter ratio $(d_H-d_A)/d_H$ [1],Skyrmion hole area [$\mathrm{pixel}^2$]
0,234.0,1.0,1.1283791670955126,0.0,0.0,-90.0,0.0,1.1283791670955126,0.0,0.0
1,315.44444444444446,4.481481481481482,5.863230142835039,10.364127297560836,3.7825617580196615,30.551407954137563,0.6350332594901767,6.955796338302048,0.15707276957647548,1.0
2,349.65384615384613,3.576923076923077,5.753627391751592,7.727525344320054,4.2386112614478195,42.658642248854605,0.45149176837532906,6.076507779746499,0.05313584705200146,0.0
3,88.0,10.516129032258064,8.884866446580956,16.932829993182324,5.528600968755566,75.3421194582691,0.6734981115985013,10.341765891652821,0.14087530701577541,0.0
4,151.1851851851852,5.037037037037037,5.863230142835039,7.0205747543676145,4.860284650205657,-9.17099328985251,0.30770843979946305,6.231677632421503,0.05912492771923012,0.0
5,336.8666666666667,6.1,6.180387232371033,7.136148987094559,5.4003950339654,82.03373183054532,0.24323398464188475,6.432750982580687,0.039231077169477234,0.0
6,386.90909090909093,5.159090909090909,7.48482063701911,8.814048832518802,6.491455111064515,-0.3729809764196958,0.26351042132705726,8.097643889049511,0.07567920501655116,0.0
7,432.88235294117646,6.147058823529412,6.579524642479541,10.218035701463455,4.334625501416272,70.83789193998855,0.5757868118629244,7.1809610472257885,0.08375430541829772,0.0
8,143.0909090909091,5.909090909090909,5.292567428401227,5.502816709244203,4.972652484064489,44.999999999999964,0.09634415485601931,5.4700209598571305,0.032441106306206544,0.0
9,168.83333333333334,4.666666666666667,2.763953195770684,3.0550504633038935,2.6666666666666665,63.43494882292203,0.12712843905603058,3.0901936161855166,0.10557280900008405,0.0
10,418.5,4.0,1.5957691216057308,2.0,0.0,-0.0,1.0,1.5957691216057308,0.0,0.0
11,47.2962962962963,9.518518518518519,5.863230142835039,6.932484019598654,5.06375607010133,75.53807909922874,0.26956109011059953,6.128667601500942,0.043310793785079155,0.0
12,101.79166666666667,8.166666666666666,5.527906391541368,6.250856433341367,4.945156380493204,-49.426883808101195,0.20888338530440492,6.023896332520351,0.08233706451775293,0.0
13,113.74285714285715,9.885714285714286,6.6755811781245455,8.601287242657486,5.5091668148448125,-68.96814729300726,0.35949507795502017,7.48482063701911,0.10811741498415531,0.0
14,130.88235294117646,8.176470588235293,4.652426491681278,6.017670389467231,3.5986487521727906,-89.18171147919165,0.4019863968502612,5.046265044040321,0.07804555427071139,0.0
15,191.4,6.8,2.5231325220201604,3.0983866769659336,1.7888543819998317,71.56505117707799,0.42264973081037427,2.6462837142006137,0.04653741075440761,0.0
