index,$p_x$ [pixel],$p_y$ [pixel],Skyrmion diameter $d_A=2\sqrt{A/\pi}$ [pixel],Skyrmion manjor axis $a_1$ [pixel],Skyrmion minor axis $a_2$ [pixel],Skyrmion orientation [°],Skyrmion ellipticity $(a_1-a_2)/a_1$ [1],Skyrmion convex hull diameter $d_H$ [1],Skyrmion diameter to convex hull diameter ratio $(d_H-d_A)/d_H$ [1],Skyrmion hole area [$\mathrm{pixel}^2$]
0,18.0,3.0,3.742410318509555,4.51260859854213,2.9541957835039856,-90.0,0.34534632929202286,4.068428945128219,0.08013378899220011,0.0
1,158.11111111111111,2.3333333333333335,3.385137501286538,3.8857533750574067,2.795442890696133,69.69935267749776,0.28059178726060197,3.656366395715726,0.07417990022744857,0.0
2,63.714285714285715,4.5,4.222008245644752,4.20883424647321,4.120630029101702,-90.0,0.020956923510451662,4.370193722368317,0.03390821692070415,0.0
3,114.0,5.0,3.742410318509555,4.51260859854213,2.9541957835039856,-90.0,0.34534632929202286,4.068428945128219,0.08013378899220011,0.0
4,300.1578947368421,5.157894736842105,4.918490759365935,5.271572221283753,4.5005385950383054,45.00000000000003,0.1462625558144554,5.232078956954491,0.05993567760894247,0.0
5,83.35,6.7,5.046265044040321,6.211554638518171,4.051739005995251,88.1376657714945,0.34770935107449463,5.292567428401227,0.04653741075440761,0.0
6,105.5,5.5,2.256758334191025,2.0,2.0,-90.0,0.0,2.256758334191025,0.0,0.0
7,125.25,6.0,2.256758334191025,2.8284271247461903,1.7320508075688772,-90.0,0.38762756430420553,2.5231325220201604,0.10557280900008424,0.0
8,168.5,4.5,2.256758334191025,2.0,2.0,-90.0,0.0,2.256758334191025,0.0,0.0
9,194.76470588235293,6.117647058823529,4.652426491681278,5.915389563555861,3.583584287550174,50.76731032682234,0.3941930199105926,5.046265044040321,0.07804555427071139,0.0
10,292.4,7.75,5.046265044040321,5.928859703180826,4.253072139054142,84.59528482521895,0.28264921890926614,5.292567428401227,0.04653741075440761,0.0
11,354.125,4.875,3.1915382432114616,3.4641016151377544,2.7386127875258306,-45.0,0.20943058495790512,3.2897623212397704,0.029857499854668026,0.0
12,361.5,6.0,4.51351666838205,4.898979485566356,4.0,-90.0,0.18350341907227388,4.787307364817192,0.057190958417936574,0.0
13,48.85,9.15,5.046265044040321,5.663920903402519,4.4721359549995805,45.0,0.21041694768141816,5.352372348458314,0.057190958417936574,0.0
