# Time(s)	Magnetic_Field(uT)
1.064143419265747070e+00	-2.002700494542202856e-05
1.075981616973876953e+00	9.231896694514600196e-05
1.087745666503906250e+00	2.126905459764970568e-04
1.099817276000976562e+00	3.076425603831055397e-05
1.111605167388916016e+00	-2.007711726706832049e-05
1.123609066009521484e+00	1.885761403129102758e-04
1.135542631149291992e+00	1.430851717680542510e-04
1.147769689559936523e+00	-1.966780586055551314e-04
1.159297704696655273e+00	1.197519897442346312e-05
1.170783042907714844e+00	-2.528823647518678246e-04
1.182543754577636719e+00	-4.690430955215058544e-05
1.194658279418945312e+00	-7.099365905491540802e-05
1.207264900207519531e+00	-1.646382704444755349e-04
1.219135046005249023e+00	-1.619755961446263056e-04
1.230850934982299805e+00	3.597685191430667259e-05
1.242765903472900391e+00	4.131472859441729961e-05
1.254854440689086914e+00	9.213104573897303658e-05
1.287257909774780273e+00	-3.361599421372517770e-05
1.298938989639282227e+00	-5.770534371648878056e-05
1.310481309890747070e+00	-5.771787179689974960e-05
1.322521924972534180e+00	2.846955047961478727e-04
1.334789514541625977e+00	1.749996791250193323e-04
1.346670389175415039e+00	-1.032338965025789525e-04
1.358183383941650391e+00	-6.846879363959164941e-05
1.370057106018066406e+00	-5.778051219895822014e-05
1.381844282150268555e+00	-1.460747188279955245e-04
1.393875598907470703e+00	-6.976723134814671954e-06
1.405483007431030273e+00	-6.049329882045373119e-05
1.417271375656127930e+00	3.699030225409019001e-06
1.429343461990356445e+00	-4.446714069970844841e-05
1.441139936447143555e+00	-7.658209734325626479e-05
1.453260660171508789e+00	-1.774017305791754080e-05
1.465260982513427734e+00	-5.788073684224957749e-05
1.477268218994140625e+00	1.240204969351137675e-04
1.489722967147827148e+00	1.775120164599308886e-04
1.500987291336059570e+00	5.176497650723268791e-05
1.513145685195922852e+00	-7.933246820598710211e-05
1.524790763854980469e+00	1.319959917542528987e-04
1.537178039550781250e+00	-6.330631008524183288e-05
1.549319982528686523e+00	1.266205308329069589e-04
1.561520099639892578e+00	-1.837154733578281530e-04
1.573521137237548828e+00	-2.051296204803303581e-04
1.585281848907470703e+00	2.924454941678786648e-04
1.597281932830810547e+00	-1.195482004727885716e-04
1.609069108963012695e+00	1.152418807960807414e-05
1.620783567428588867e+00	-1.409748756757029384e-04
1.633182048797607422e+00	-7.227284743043686209e-06
1.644685506820678711e+00	1.372211157106599999e-04
1.656387567520141602e+00	-1.062348289735388067e-04
1.668102979660034180e+00	-3.175883450946019788e-04
1.679991483688354492e+00	-3.844809326815480741e-04
1.691941261291503906e+00	-7.149478227137586752e-05
1.703752756118774414e+00	1.677436819683952580e-05
1.715463876724243164e+00	1.210947329466221265e-04
1.727414131164550781e+00	-2.337872366790468950e-05
1.739778041839599609e+00	3.360772054298390785e-06
1.751479387283325195e+00	-2.534711845312086860e-04
1.763393640518188477e+00	-6.354434361305988062e-05
1.775343179702758789e+00	-2.877924075007379045e-05
1.787411689758300781e+00	-9.032142357649706999e-05
1.799283981323242188e+00	-1.491884040226601309e-04
1.811231851577758789e+00	-3.150634796792782066e-04
1.823278427124023438e+00	7.550353975847470366e-05
1.835116386413574219e+00	1.798239045082585376e-04
1.847144603729248047e+00	-1.012799257071217704e-05
1.859160661697387695e+00	-1.546014491852401975e-04
1.870950460433959961e+00	1.530342964644103927e-04
1.905747413635253906e+00	-8.507124345926682450e-05
1.918019533157348633e+00	-8.240856915941640259e-05
1.929417133331298828e+00	-4.496826391616890790e-05
1.941031217575073242e+00	-6.905761341893251076e-05
1.952869176864624023e+00	-1.225741891045727897e-04
1.965199470520019531e+00	1.262071041793269013e-04
1.976751089096069336e+00	8.606654039499485103e-05
1.988094806671142578e+00	7.000279803301423520e-05
1.999730587005615234e+00	3.110210446068160191e-06
2.011340618133544922e+00	-1.413632461684598653e-04
2.023707389831542969e+00	-2.265250475277793945e-06
2.035440206527709961e+00	-8.520905234379351489e-05
2.047491550445556641e+00	-1.574520446912623921e-04
2.059428453445434570e+00	-2.637965613886575995e-05
2.071376800537109375e+00	-2.297075651191434853e-04
2.083896875381469727e+00	6.990257338972165812e-05
2.095288038253784180e+00	-1.468013474918630898e-04
2.106884002685546875e+00	1.046551481722979922e-04
2.118649244308471680e+00	1.367450486550226846e-04
2.130186557769775391e+00	5.647603941802876845e-06
2.141986608505249023e+00	6.716473060740300958e-05
2.153501510620117188e+00	4.040017872437799543e-05
2.165118694305419922e+00	1.420453410938992051e-04
2.176637887954711914e+00	-1.682906630968347141e-04
2.188591718673706055e+00	-1.228247507128030127e-04
2.200410366058349609e+00	4.302526878299310463e-05
2.211913108825683594e+00	-1.067985925920565102e-04
2.224199295043945312e+00	2.872176918248893985e-06
