# Time(s)	Magnetic_Field(uT)
1.632202386856079102e+00	4.543522858204860834e-05
1.644163370132446289e+00	5.006205110717563001e-05
1.656277894973754883e+00	-2.396871411212208127e-05
1.668636083602905273e+00	2.230036074828966949e-05
1.680857896804809570e+00	-8.343182834390966267e-07
1.693045377731323242e+00	-2.396899731516785999e-05
1.705174446105957031e+00	7.319616373281283902e-05
1.717144727706909180e+00	1.304614929194301670e-05
1.728901624679565430e+00	8.419137964785825990e-06
1.742251157760620117e+00	4.543437897291126542e-05
1.753533601760864258e+00	-1.471563546795854843e-05
1.765472173690795898e+00	-4.247723142582889250e-05
1.777481555938720703e+00	-1.934274119613134881e-05
1.789498090744018555e+00	-5.462084818718014965e-06
1.801598548889160156e+00	-3.785059770273203986e-05
1.813473701477050781e+00	2.692614486224918259e-05
1.825697183609008789e+00	-6.561228806161799700e-05
1.837877511978149414e+00	-8.355454966367734900e-07
1.849843502044677734e+00	-8.356398976523841215e-07
1.862132787704467773e+00	1.304501647976095047e-05
1.873718023300170898e+00	-3.322424718268096594e-05
1.910830974578857422e+00	-4.710509236212341935e-05
1.922335863113403320e+00	6.394081946428410983e-05
1.934159517288208008e+00	-1.934377960729885738e-05
1.946163654327392578e+00	-1.009004015602815234e-05
1.958017587661743164e+00	-7.486697152304058907e-05
1.969501733779907227e+00	2.692510645108167402e-05
1.981405019760131836e+00	5.931343053306553751e-05
1.993312120437622070e+00	-1.471733468623217378e-05
2.004964828491210938e+00	-4.247893064410251447e-05
2.016869068145751953e+00	2.692472884702133595e-05
2.028621196746826172e+00	6.393996985514678046e-05
2.040706157684326172e+00	6.856679238027484568e-05
2.052762985229492188e+00	8.416777939405031833e-06
2.064789056777954102e+00	5.468585279981573227e-05
2.077157020568847656e+00	5.005884147265854156e-05
2.088548898696899414e+00	3.617799629321503783e-05
2.100193023681640625e+00	-1.934510122151109095e-05
2.112064838409423828e+00	3.155089056504224422e-05
2.124494314193725586e+00	-8.376223189717893562e-07
2.136282205581665039e+00	-1.934538442455686967e-05
2.148112535476684570e+00	-4.248006345628563610e-05
2.160353660583496094e+00	-1.934557322658809241e-05
2.172946691513061523e+00	4.543116933839418375e-05
2.184805154800415039e+00	7.319257649423436217e-05
2.196861982345581055e+00	-4.248044106034597417e-05
2.208591461181640625e+00	3.617705228306314233e-05
2.220991373062133789e+00	3.155004095590490130e-05
2.232442617416381836e+00	-8.384719281080762382e-07
2.244287490844726562e+00	1.304218444930420517e-05
2.256180286407470703e+00	2.692284082671754156e-05
2.268490314483642578e+00	-1.934642283572437824e-05
2.280541896820068359e+00	3.617648587697158490e-05
2.292527914047241211e+00	-2.397352856389717862e-05
2.304379701614379883e+00	-3.785437374334068574e-05
2.316449403762817383e+00	6.856462115692422564e-05
2.328592777252197266e+00	-6.561606410222663611e-05
2.340685129165649414e+00	4.080293079803826850e-05
2.352512359619140625e+00	-1.009324979054523571e-05
2.364408493041992188e+00	4.080274199600809269e-05
2.376322031021118164e+00	8.414229111994066945e-06
2.388096809387207031e+00	5.931022089854845583e-05
2.399748563766479492e+00	-1.934746124689188681e-05
2.411585569381713867e+00	1.304086283509091789e-05
2.423315525054931641e+00	-3.322840082734994312e-05
2.435086011886596680e+00	7.781751099905757929e-05
2.446722269058227539e+00	6.393666581961513266e-05
2.458225727081298828e+00	-2.860176710425309726e-05
2.470353364944458008e+00	3.617497546072812519e-05
2.482687950134277344e+00	2.692104720742830652e-05
2.494693517684936523e+00	3.786368175699538823e-06
2.527896642684936523e+00	3.154777533153971513e-05
2.539424419403076172e+00	-1.009457140475852299e-05
2.551065683364868164e+00	3.786084972653759261e-06
2.563247442245483398e+00	1.333396645036328697e-04
2.574668169021606445e+00	3.785896170623589801e-06
2.586280345916748047e+00	8.412718695750610626e-06
2.598050594329833984e+00	2.692029199930657667e-05
2.609900474548339844e+00	6.393553300743200424e-05
2.621862173080444336e+00	-3.785673376872148159e-05
2.634226083755493164e+00	3.617384264854606066e-05
2.646239995956420898e+00	-9.337992568446322006e-05
2.658348798751831055e+00	4.080057077265852297e-05
2.670508623123168945e+00	4.080047637164291329e-05
2.682673692703247070e+00	2.229271426605677821e-05
2.695324897766113281e+00	-9.800722021466618948e-05
2.707774639129638672e+00	6.856169472545292946e-05
2.719861984252929688e+00	-1.472290434612899929e-05
2.731769561767578125e+00	-9.800750341771196142e-05
2.743856668472290039e+00	5.468066074397924314e-05
2.756362676620483398e+00	2.691906478610889907e-05
2.768146991729736328e+00	-3.323094965476091478e-05
2.780175685882568359e+00	1.055764637285023957e-04
2.792117118835449219e+00	1.303803080463522630e-05
2.803855180740356445e+00	-1.935048207937879944e-05
2.815675497055053711e+00	7.781467896860189278e-05
2.828213930130004883e+00	8.706841841987154581e-05
2.841216325759887695e+00	1.303765320057383621e-05
2.852702856063842773e+00	-5.470108905011246006e-06
2.865351676940917969e+00	2.229129825082893157e-05
2.876960754394531250e+00	8.706804081581015064e-05
2.888754129409790039e+00	8.410358670370866790e-06
2.900517463684082031e+00	-3.323198806592841996e-05
2.912433147430419922e+00	-1.935133168851508866e-05
2.924471139907836914e+00	-1.009759223724543563e-05
2.936871051788330078e+00	-4.711302204740209273e-05
2.948866367340087891e+00	9.169439133586226810e-05
2.960972070693969727e+00	-2.860554314486173636e-05
