# Time(s)	Magnetic_Field(uT)
1.193960189819335938e+00	3.833453502717494408e-05
1.205874919891357422e+00	-1.090487378480620986e-04
1.217988014221191406e+00	2.550143529512639406e-04
1.230058431625366211e+00	9.029391520570267016e-05
1.242297410964965820e+00	-1.952550045049866886e-05
1.254104137420654297e+00	-1.954287192798157823e-05
1.290515184402465820e+00	6.445503900023084736e-06
1.302175998687744141e+00	1.075615941660991432e-04
1.314100265502929688e+00	1.104337501670049219e-04
1.326023578643798828e+00	1.797650381708199908e-04
1.338711977005004883e+00	1.855267216501118048e-04
1.350683212280273438e+00	1.768407677374681300e-04
1.362584590911865234e+00	3.155207152225799607e-04
1.374287605285644531e+00	4.677728825507366947e-05
1.386572360992431641e+00	-5.726307244435425059e-05
1.398773431777954102e+00	4.674254530010917209e-05
1.410873651504516602e+00	1.738643828716714883e-04
1.422581195831298828e+00	1.189459893048300265e-04
1.434308767318725586e+00	9.126573648628689151e-06
1.446138143539428711e+00	9.290549904437925863e-05
1.458343267440795898e+00	-7.181493870118194403e-05
1.470696926116943359e+00	1.275450858300644229e-04
1.482439994812011719e+00	3.885053035389118858e-07
1.494312047958374023e+00	-2.852414095781630134e-05
1.505852460861206055e+00	3.384284773198957324e-04
1.517649412155151367e+00	6.679552287400212520e-05
1.529809951782226562e+00	8.411531626684470733e-05
1.541568040847778320e+00	-4.015173678129343505e-05
1.553666353225708008e+00	1.736559251418884071e-04
1.566211938858032227e+00	2.661034329728024237e-04
1.578407764434814453e+00	1.505049623598263579e-04
1.590321302413940430e+00	8.113893140104806560e-05
1.602217912673950195e+00	-1.298139459987109241e-04
1.614019870758056641e+00	1.464505644317424256e-05
1.625715255737304688e+00	2.660165755853931453e-04
1.637874603271484375e+00	9.262755540466982541e-05
1.649653911590576172e+00	1.157264037542871208e-04
1.661786317825317383e+00	2.659644611529483373e-04
1.673942089080810547e+00	-1.722660320649602116e-05
1.685912370681762695e+00	-8.659263416527430328e-05
1.697932004928588867e+00	6.653495071177427660e-05
1.709855318069458008e+00	9.541285401816629872e-05
1.722177505493164062e+00	1.098431199326202029e-04
1.734290838241577148e+00	1.300524408038501484e-04
1.746359348297119141e+00	2.427266409834756544e-04
1.758344173431396484e+00	3.265055663792275809e-04
1.770591735839843750e+00	-2.051848611215285954e-04
1.782383680343627930e+00	8.622800801653256897e-06
1.794222116470336914e+00	4.039023158643263901e-05
1.805820226669311523e+00	2.166340362905801056e-04
1.817585706710815430e+00	-8.967324789596182154e-05
1.829642534255981445e+00	7.501244689463619833e-05
1.841450214385986328e+00	8.077413037392801233e-05
1.854110002517700195e+00	-5.929065455174430616e-06
1.865441799163818359e+00	8.651844237573955631e-05
1.877405643463134766e+00	5.228197201347494633e-04
1.910836458206176758e+00	9.804180933432448536e-05
1.922806501388549805e+00	-4.934146354091255055e-05
1.934164285659790039e+00	2.576887941967725862e-05
1.945857286453247070e+00	7.487347507478082443e-05
1.957943916320800781e+00	-2.487709739820852424e-04
1.969262123107910156e+00	3.438534742239325321e-05
1.980893373489379883e+00	1.992033855297484490e-05
1.992759704589843750e+00	-1.390210442358116513e-04
2.004659652709960938e+00	2.279315740419016970e-04
2.016891002655029297e+00	5.420586728593257175e-06
2.028257131576538086e+00	4.296707247014604469e-05
2.039893627166748047e+00	4.583922847105181668e-05
2.051739692687988281e+00	1.151705164748669126e-04
2.063089847564697266e+00	3.520943982251489900e-04
2.074907302856445312e+00	2.267089421150682421e-05
2.086656808853149414e+00	1.122288745640334401e-04
2.098896741867065430e+00	-1.362878600547612329e-04
2.110909700393676758e+00	-1.449738139674049077e-04
2.122595071792602539e+00	1.237348700451381127e-04
2.134551525115966797e+00	6.014789404313324614e-05
2.146518707275390625e+00	-7.278774144016698640e-05
2.158668994903564453e+00	8.101656477197546148e-06
2.170766353607177734e+00	1.583397138758587525e-04
2.183487176895141602e+00	1.095644100062171997e-05
2.195472240447998047e+00	-2.057754913559133145e-04
2.207404851913452148e+00	6.871224761340444622e-05
2.219252347946166992e+00	1.264854257036700886e-04
2.231352090835571289e+00	1.438052190965126572e-04
2.243091821670532227e+00	4.265438587547210053e-05
2.254780530929565430e+00	2.241032204927897222e-05
2.266444206237792969e+00	2.131017641453632422e-04
2.278649330139160156e+00	1.292880957946481737e-04
2.290329933166503906e+00	-6.537067167039427337e-06
2.302480459213256836e+00	3.389894605290072525e-05
2.314801931381225586e+00	2.823809377167322697e-04
2.326530456542968750e+00	1.349976648414951796e-04
2.338439226150512695e+00	-2.204315864776318845e-04
2.350541114807128906e+00	-1.240297951122343584e-05
2.362348794937133789e+00	7.426547336291449363e-05
2.374520540237426758e+00	6.557951945027081886e-05
2.386419773101806641e+00	-1.453733579494881844e-04
2.398365020751953125e+00	-3.803882985989041959e-06
2.409905672073364258e+00	2.273409438075169780e-04
2.421859502792358398e+00	-3.838625940953544427e-06
2.433916330337524414e+00	1.435099039793202977e-04
2.445730209350585938e+00	1.145972577179650928e-04
2.457842588424682617e+00	1.348065785891950112e-04
2.469691991806030273e+00	1.342905301944293622e-05
2.481931447982788086e+00	1.781147478100409646e-04
2.493522167205810547e+00	2.206289249964183172e-05
2.525196313858032227e+00	9.428370798184427073e-05
2.537533760070800781e+00	1.029349189395247627e-04
2.549440860748291016e+00	3.369692732114181757e-04
2.562002420425415039e+00	-3.868667045642045920e-05
2.573848009109497070e+00	7.109800224481769703e-05
2.585390567779541016e+00	1.982198398163800065e-04
2.596783876419067383e+00	7.106325928985318609e-05
2.608505964279174805e+00	1.172783274665693885e-04
2.620424032211303711e+00	-3.588400036544238094e-05
2.632050752639770508e+00	5.367397998708423837e-05
2.644669532775878906e+00	8.255188329347626049e-05
2.656198740005493164e+00	-1.570942244917694297e-05
2.668356180191040039e+00	1.605343822549705338e-04
2.680553197860717773e+00	-1.833367591506071038e-04
2.692063808441162109e+00	5.358712259967495325e-05
2.703782558441162109e+00	-7.067993044846318236e-05
2.715710163116455078e+00	-1.169297415801438822e-04
2.727613925933837891e+00	-7.145068878905737805e-06
2.739884853363037109e+00	1.344244060845934004e-04
2.751954078674316406e+00	1.055117598232381684e-04
2.763934373855590820e+00	4.360926602197612551e-06
2.776013135910034180e+00	-1.516909287082015211e-04
2.788020133972167969e+00	1.025701179124047230e-04
2.799953937530517578e+00	1.314480212187967587e-04
2.811872243881225586e+00	1.978897817442244506e-04
2.824377536773681641e+00	3.018953994886865925e-04
2.836090564727783203e+00	-5.064432435205314201e-05
2.848219633102416992e+00	2.411805794875887922e-04
2.860150098800659180e+00	1.400297462665495434e-04
2.872232437133789062e+00	1.949133968784278088e-04
2.883964538574218750e+00	-4.782428278359347236e-05
2.896004915237426758e+00	9.952424713668038753e-05
2.908075809478759766e+00	1.515183702701713032e-04
2.919975519180297852e+00	-7.423012518615187116e-06
2.932095766067504883e+00	1.399255174016573523e-04
2.944238424301147461e+00	3.010610174545601324e-05
2.956357240676879883e+00	1.687860492305677626e-04
2.969418048858642578e+00	3.873994122565490705e-05
2.980734825134277344e+00	1.158712529137612407e-06
2.992698907852172852e+00	2.409721217578057110e-04
3.004739046096801758e+00	-1.621319529615106232e-05
3.017016887664794922e+00	-4.223631407911890723e-05
3.028861761093139648e+00	-5.670132294853730878e-05
3.040894508361816406e+00	5.886240470947556744e-05
3.052848815917968750e+00	2.957862864597563370e-04
3.064621686935424805e+00	4.438002436257425313e-05
3.076329708099365234e+00	1.108217848880019789e-04
3.088018178939819336e+00	-3.367196050884770715e-05
3.099832057952880859e+00	-6.258460677020422666e-05
3.111948728561401367e+00	-5.971245076929846145e-05
3.144295215606689453e+00	1.049732440212995584e-04
3.156008243560791016e+00	-7.419483111619846116e-05
3.167703866958618164e+00	9.338039115278692209e-05
3.179805278778076172e+00	4.135152506433150907e-05
3.191424369812011719e+00	2.262639122036410591e-04
3.202903032302856445e+00	-1.436129765074228219e-04
3.214763641357421875e+00	6.441563045898560807e-05
3.226194858551025391e+00	-5.407236763237780754e-05
3.238022565841674805e+00	1.366190744637051546e-04
