index,Skyrmion-Skyrmion distance [pixel],$\Psi_6$ [1],$\Psi_4$ [1]
19,15.66322929000194,0.35420962609062184,0.4903629148393787
20,19.012773659986532,0.31340870066230314,0.28363178782983445
27,13.410768984078608,0.8846308775065275,0.09797889985461002
31,11.480603927170156,0.37340552901925383,0.8450863914787062
32,8.630374730219195,0.25216643299230146,0.7022089634343243
34,19.020654935104254,0.17459160481186642,0.6574094896528405
35,16.207802178141097,0.09142068253607398,0.01037443931144003
37,26.67989280699319,0.5303794657953812,0.37638789977410947
40,18.229202318460874,0.042728355697095974,0.7308386015343383
42,14.857695136844104,0.3174788452090612,0.3640288488216929
43,15.504642329684904,0.9392879513309121,0.4066320633182937
44,20.30333155005513,0.1318340277445505,0.31910210240174897
45,13.787461153279795,0.15781102293193885,0.3252706057088397
47,12.665523345474412,0.5570294457043492,0.592832236731778
48,13.000067226037245,0.33742120076165477,0.7168414040293091
49,16.51353164440612,0.41384373861344204,0.3099536062626222
50,18.50937994977314,0.0733155910507355,0.24639130366686887
52,12.058112128782165,0.20699697530849484,0.2616646238083786
54,20.453883658580782,0.3787059804266759,0.5552698822198103
55,16.688996907887876,0.49630995986750226,0.28931686403487467
57,19.27126423224742,0.34599429924067904,0.09359689777095763
58,19.293367696263847,0.6710593423130106,0.4205837958962853
59,22.87436253403526,0.44476640282449253,0.13002044801268828
60,17.22800414808581,0.7495690148655759,0.44443645679749655
61,14.256442002774605,0.3172346147374441,0.14639016138669783
62,12.214981483133077,0.11585173734520678,0.4410206348894855
65,17.5319110351604,0.4004246907443334,0.27154181816002815
66,16.17613250741726,0.4388065149009754,0.5468469128584095
67,19.635079851610357,0.27201927236834145,0.6970107082688028
68,22.738436554714273,0.3442234730173615,0.32005306231258196
69,19.431434369190722,0.34909772845942505,0.16817141943311573
70,18.46842867000484,0.36326738694724703,0.7216381511073872
73,20.622011496969986,0.07747068499917378,0.4756255571743468
74,18.05748670964549,0.3380456070625198,0.4251993887488969
76,17.71100601993352,0.5638967870722772,0.41290401127099247
77,17.338074516739905,0.4511951663439228,0.5614764651718015
78,19.140014335539238,0.2825110803860191,0.2855091937244044
81,21.177919226947004,0.5805846503285951,0.49236429395341863
83,21.348899673869095,0.06809295961089212,0.458387332431712
91,25.205072375448907,0.17020414030341255,0.49732658432491395
93,16.39295710436586,0.46365996565827977,0.9175695522763586
94,18.60763054734437,0.42576938712353674,0.26060494977276777
95,14.860157560843401,0.2796482496369586,0.7533803524076875
98,24.568132619392227,0.2013493311972054,0.17938731659967388
100,14.198114554508704,0.23883943637644653,0.8108949808597855
102,16.08314838478136,0.7696009092159324,0.4466204719863177
105,15.806341658723492,0.9301649261687976,0.25163308625455133
108,16.111011448169833,0.5713540266727902,0.2626987893820784
110,16.86364104426438,0.741536446550914,0.2755082295915499
111,24.379992370052435,0.46488901000247423,0.363366682881678
112,17.160612168614943,0.31249009184490645,0.19593088418136054
114,21.222835682124835,0.5384496050268268,0.4831638748212346
116,15.996819064942256,0.18287093329487303,0.1328947970231628
117,18.942191133928947,0.23262414253964467,0.48570146516478446
