index,Skyrmion-Skyrmion distance [pixel],$\Psi_6$ [1],$\Psi_4$ [1]
20,12.811505054708043,0.4724341708991086,0.48997967810395826
24,9.661589809090392,0.5286918010621561,0.20147463076647382
25,13.460237833328751,0.20963311111165145,0.011074022728875508
28,14.432463276125759,0.5890206014709432,0.5683292931825122
29,16.93821092657189,0.4476921842356437,0.10303320368597398
31,15.596987263996464,0.488389145520578,0.09213649006383588
32,13.054186270219407,0.8892782949805198,0.409131844289383
35,14.549296945148892,0.17452200703276122,0.1539308067857554
37,10.627807349220467,0.7261196062202174,0.23809398502407175
39,7.96535456155488,0.38024034886449637,0.6968716011300309
40,17.323751216813125,0.1494338750234205,0.20533912003913768
41,12.792199377217205,0.18204892243897747,0.29852157627682124
42,12.027570440132804,0.2019831870603978,0.44757060675973
43,12.110042300779325,0.4696527060436852,0.3691650698412853
45,15.739578806448112,0.3168773541977521,0.38922417225976846
47,15.649688906897621,0.44863513351856327,0.8249046121590481
48,12.925218216598337,0.3507526213964821,0.3626323690126439
49,10.317237924124589,0.14326929050776932,0.6395226565938937
50,11.754213347063523,0.21058525192726646,0.6005481341226209
51,12.462013014135202,0.18498832125036344,0.2858023834207968
52,16.352163645341292,0.8339327733691404,0.013893258168348709
53,15.439851475709597,0.42804932114317573,0.3148436207600103
54,14.537188168227052,0.8128146803968103,0.3467859700343594
55,15.472277596300128,0.21728413728216633,0.16582316257047633
56,15.226633583589873,0.3823732497420199,0.8037303491202212
57,12.865391333756012,0.0800271865765082,0.552137493104055
58,16.300800707211664,0.16858185180730334,0.1357264782311175
59,11.798652524231311,0.6931048569488926,0.43935793566399933
60,12.954869308369538,0.3534978604748761,0.6566328804609978
62,13.893536705015574,0.6733927969120801,0.3919717071531329
63,20.552764948760323,0.4619989655616631,0.10617701429981566
64,18.375870015112902,0.23194331426958276,0.3527573631555697
66,18.146332735647825,0.23459154086335834,0.2851245676592808
67,12.151053189901418,0.13508100604509377,0.3558217622487363
68,11.26152054218488,0.1714447618317185,0.5458284737736385
69,12.435871910208691,0.6080682213990607,0.4209584925426236
70,12.85731835299164,0.5105533347797304,0.519176417758603
73,15.858674125581965,0.44203819395149024,0.32382924038112776
