index,Skyrmion-Skyrmion distance [pixel],$\Psi_6$ [1],$\Psi_4$ [1]
16,48.85239610069091,0.1742908808089215,0.3543806802253122
17,28.840148807432364,0.5150662333137458,0.5704646421116648
21,34.26518531140321,0.28818252761241525,0.4230752967224055
22,25.209556524586144,0.32774462179128766,0.9642739303543505
24,56.298365242723094,0.6775448439162058,0.13873606001956792
25,29.72706456327054,0.37203820351539635,0.11301860143999966
30,46.18651180155439,0.15508755570291977,0.40690750040754475
32,54.99396259130578,0.3643195255851912,0.3763005811099874
40,38.268509109490985,0.42716955094649806,0.4724537777530694
41,41.775419399384965,0.3253706595149169,0.2863335285251723
49,40.33512679151861,0.5379087452960671,0.0750690004163758
50,28.163188797185448,0.19774147734489286,0.15025608072547228
60,30.37274795448778,0.5502575697085489,0.2095979536262286
63,28.640885584341817,0.1043305716514926,0.3332760232775999
67,33.07464180079193,0.12639843904254824,0.35210908344827924
68,26.36772881013241,0.31352415832939096,0.2249725404646487
71,39.624749080816976,0.5617260103306215,0.7647114643598225
74,25.640949698814357,0.6111892014972392,0.3010557660219311
77,33.62086987212465,0.21780487523826306,0.3944924580647084
78,23.862770932291706,0.24820890627408496,0.49115052804763815
82,18.613005355901894,0.3793193507743771,0.5932301490380012
85,41.44282606330796,0.5050531138578481,0.47953612651244887
91,34.535577367481544,0.7127930351536115,0.16779583092983558
92,24.55508705212234,0.2067417155697906,0.6477587541052343
96,27.33015644480387,0.138909335448798,0.4482026060529291
99,21.814375866294554,0.7239558006726271,0.5377662222049057
102,36.407128941045244,0.30715215362719717,0.4655751756349131
104,33.239658271302524,0.16614680283900848,0.3437856031495169
107,20.465088053921335,0.7333887157592514,0.27632094695159987
110,20.817671809435982,0.4923246467659467,0.2512903167464824
113,23.240291640216167,0.6247667392002749,0.31610691895385035
115,33.95145978992726,0.18243697729368252,0.41059174481018285
117,21.224104505750464,0.2896919336198213,0.25162810865487273
119,25.879422910916464,0.35027426835222897,0.31051452488874975
120,34.13447956667311,0.7511984549480866,0.20692549681962338
123,22.928567310866956,0.30169746546948906,0.4687042257066337
127,31.435273538853295,0.13520428628928952,0.5318871699285249
131,26.61415123511971,0.14436427285525708,0.35086931556411644
133,27.61156593701329,0.14613148783773058,0.7626079177936146
134,31.93269297844083,0.30402226090716195,0.3477130030448773
135,30.181103387581548,0.29519946339667497,0.37564377138797667
142,20.19452494117944,0.4730169187673888,0.1713803554826852
144,23.673512035363075,0.26310064220414764,0.09578930904782441
147,32.00496763663343,0.3023010042612953,0.36486735482663435
148,31.618906092829395,0.13492698373916567,0.44011653792989586
150,27.905514196247562,0.2772198223160738,0.7214130040178711
151,28.494376830845138,0.6512042834748504,0.14332889216898717
152,26.373459988047397,0.4004192803074394,0.16959213847735125
154,40.08384926625753,0.409826379631438,0.2229932137130679
155,33.39844777458606,0.2549488856807752,0.277627041296135
156,28.370356447006433,0.42346584347633226,0.25385857868740747
157,22.435915799087674,0.07087674582115748,0.6417244074560564
158,30.971040825021607,0.2117322682052356,0.7457533533724072
160,22.299482940165657,0.38738437876477994,0.35852660186898244
161,35.72044578778224,0.194957434721391,0.059217694204208936
162,24.35043727371785,0.28753595704110924,0.5208049280299556
163,27.442663393822855,0.2933414002462161,0.4417049233357661
166,30.93149895186092,0.3572889259457492,0.8947187543700675
169,29.04849406668484,0.16057903410419075,0.2311325328006795
173,23.017908488458207,0.6308870698313742,0.4844084613301111
175,27.403756474342376,0.4926599432239832,0.03684664810537989
177,18.75361974554114,0.041958047200843694,0.3540968611445243
178,20.82225107018456,0.6651350592402575,0.702768311473774
181,21.069075829590336,0.36505508005235193,0.1937802414693716
184,28.88973773379865,0.40439279865525035,0.2444225411800912
187,27.217057161256776,0.1625099202133746,0.3861315706539406
193,34.07096683829466,0.32838195637417855,0.4372148911453113
197,22.309180244246274,0.8156625610109346,0.39241095998494124
198,32.904905895397846,0.2959945939318693,0.9671104998941874
199,24.90668871627434,0.3059106519386564,0.391367476196002
206,17.446913308246003,0.8501053362547742,0.11432528555948962
208,35.3516449999758,0.3420866235341186,0.10244784662444097
212,24.056721850267675,0.3469965004306427,0.3740898953391177
