index,Skyrmion-Skyrmion distance [pixel],$\Psi_6$ [1],$\Psi_4$ [1]
10,25.87278580547041,0.6025178269271911,0.2460704945689415
16,21.541435495693566,0.3524251635642608,0.42823340972275103
22,16.242552955703747,0.44015769361169066,0.6172784985919281
28,20.479113997373506,0.42118732363404443,0.141142547183922
34,23.75613523554122,0.2700653773439142,0.11668964550031323
36,26.910072384418257,0.05783997614234621,0.22187008707521436
39,20.943648029557636,0.39511449813030475,0.7316005301567737
40,16.850027453705465,0.22549992303756386,0.08399849582901121
42,18.205381769973283,0.20555379343437608,0.1684789213977526
44,14.470291472629038,0.6429381900369816,0.5115116889212314
46,27.58609963921762,0.03192565637655601,0.24109660523879126
47,15.651108227960544,0.5610466194998474,0.3639053664294942
49,37.30107178297697,0.47229549098956364,0.3931696729362137
52,31.503654918854227,0.4163679199811552,0.042158577534741615
53,22.16563587782001,0.16553562011960182,0.23144265180387216
57,25.941314849452517,0.1168967107666994,0.4092566406210761
62,25.7313102330401,0.3189327652706361,0.3785591115800161
63,17.083538810066614,0.6952846019617617,0.46122564839708674
66,33.11221861259936,0.23278400155827275,0.5438822930146032
67,22.368388313919084,0.356384622028063,0.25086192118775263
69,51.847939806392354,0.22402799058701017,0.11288636415835505
76,21.85014380896995,0.47592548057573036,0.49974181857109873
77,29.22049230091675,0.2766925620149853,0.5282713795734947
78,32.08092913080876,0.2599013737543244,0.7923776784973843
83,21.413780519966217,0.21526139042167045,0.48285306916015125
85,30.02413759844269,0.14863595985938288,0.11982503686605867
92,20.125376354900443,0.6043863297034386,0.4125691479300998
93,22.907683950801232,0.256450873857293,0.8218749171318002
97,21.65947720094438,0.3049744917833525,0.13986174786848732
99,21.282149164520675,0.297954996115335,0.3722969110458503
100,15.6050989046005,0.3739050997351262,0.8040351517952269
102,39.09235338381199,0.11087612614843664,0.37581543813972423
103,18.220185703817304,0.16251178583516568,0.9402898755513746
104,13.745845694567086,0.43377692427950887,0.4808034091425053
105,15.612032093042075,0.6910287072995025,0.5247497740508998
108,13.384120905417722,0.47560998117803854,0.6828625114247125
110,15.589619762546935,0.5680718212257484,0.3377133367343799
111,16.20222745327589,0.23743218694787402,0.44119406941653194
112,27.10406658740429,0.11512885845523677,0.1149464647708463
114,17.642174670128835,0.3582417744561282,0.3263184378829627
116,20.772008644743114,0.3534730868402896,0.5632330318551059
121,18.832494687624575,0.24054452150666802,0.5493911605667722
127,20.569463905115775,0.44712912241680214,0.27943926333802016
130,34.40630736444636,0.3961924001389841,0.8865542056343744
135,21.973495049413657,0.5510832355564453,0.5701167625811319
136,16.755036553572978,0.47018510972748967,0.8990411233756094
137,69.37620469483672,0.16141361516442493,0.6953980951018887
143,25.126343632404488,0.3865160710992382,0.4821525177515186
144,23.687651945025827,0.18484901209329882,0.18741500422524665
147,26.602398098311145,0.328020970731835,0.8252748487548136
150,23.093207988362785,0.4076077886468233,0.42343962070458524
151,26.825371795161132,0.3893867442696276,0.26187607596175716
152,28.357261955849683,0.40662374592880535,0.41137099040768327
158,26.28867258322352,0.2393115480784958,0.8404846038585004
161,26.127861598954045,0.5210826493539406,0.35040277857357505
163,26.19696505762364,0.3348918419582525,0.10447291363716607
166,25.655669457640887,0.23667880240506847,0.26839134512420776
167,23.55131547518477,0.0940150846316413,0.4078098441793452
168,21.303501335537888,0.37178546515560484,0.11405942615127192
172,21.490386865609356,0.3248334367776582,0.3666800214474475
174,19.574070243659875,0.49019902791844033,0.3545092114412256
177,28.932707663150463,0.47346949886239814,0.4679288447777682
181,12.188669797168298,0.5008478070936958,0.5176068194340772
182,17.509022051747355,0.6737680763264549,0.4306847086498823
186,27.824576996296333,0.48812758243244403,0.662478798482617
187,15.871732421757779,0.9090536725530403,0.21709946088975854
191,14.942951516285612,0.28678518263762864,0.30463624693410835
