index,$p_x$ [pixel],$p_y$ [pixel],Skyrmion diameter $d_A=2\sqrt{A/\pi}$ [pixel],Skyrmion manjor axis $a_1$ [pixel],Skyrmion minor axis $a_2$ [pixel],Skyrmion orientation [°],Skyrmion ellipticity $(a_1-a_2)/a_1$ [1],Skyrmion convex hull diameter $d_H$ [1],Skyrmion diameter to convex hull diameter ratio $(d_H-d_A)/d_H$ [1],Skyrmion hole area [$\mathrm{pixel}^2$]
0,360.0,4.285714285714286,2.985410660720923,3.0237157840738176,2.799416848895061,-0.0,0.07417990022744843,3.1915382432114616,0.0645856533065147,0.0
1,397.7368421052632,4.684210526315789,4.918490759365935,5.6749204413228105,4.259613650974776,69.03324275056298,0.2493967633523563,5.4115163798060095,0.09110674085361423,0.0
2,11.875,5.875,3.1915382432114616,3.4641016151377544,2.7386127875258306,45.0,0.20943058495790512,3.2897623212397704,0.029857499854668026,0.0
3,103.9090909090909,6.636363636363637,3.742410318509555,4.3461299841418874,3.067356324605907,-74.92930722396231,0.2942327229516734,3.826519928662906,0.021980706156348437,0.0
4,23.0,8.5,3.5682482323055424,4.381780460041329,2.6832815729997477,-63.43494882292202,0.3876275643042054,3.742410318509555,0.046537410754407656,0.0
5,94.0,7.5,3.1915382432114616,3.4641016151377544,2.8284271247461903,-90.0,0.18350341907227385,3.5682482323055424,0.10557280900008412,0.0
6,410.5,8.5,2.256758334191025,2.0,2.0,-90.0,0.0,2.256758334191025,0.0,0.0
7,429.1875,10.8125,4.51351666838205,5.658313432625147,4.105909046505271,60.92756619122462,0.2743581465757801,5.352372348458314,0.15672595728843225,0.0
8,12.0,14.5,4.222008245644752,5.606119105813881,3.0237157840738176,-90.0,0.46064011002940636,4.51351666838205,0.0645856533065146,0.0
9,175.0,15.692307692307692,4.068428945128219,5.055900530816918,3.1378581622109447,-90.0,0.3793671091658248,4.222008245644752,0.03637588834056853,0.0
10,386.1111111111111,16.055555555555557,4.787307364817192,5.385930481961369,4.225630174819322,38.474167328944354,0.21543172735484423,5.170882945826411,0.07417990022744866,0.0
11,87.0,18.0,1.1283791670955126,0.0,0.0,-90.0,0.0,1.1283791670955126,0.0,0.0
12,109.66666666666667,19.833333333333332,2.763953195770684,3.8688947531903106,2.6094886791312706,59.67887677139563,0.3255208927615638,3.1915382432114616,0.13397459621556135,0.0
13,121.93333333333334,20.666666666666668,4.370193722368317,5.982593621313813,3.0484451785557387,84.58627344808731,0.4904475597849011,4.583497844237541,0.04653741075440756,0.0
14,97.0,20.5,2.763953195770684,3.265986323710904,2.0,-0.0,0.3876275643042055,2.763953195770684,0.0,0.0
15,323.0,20.0,1.1283791670955126,0.0,0.0,-90.0,0.0,1.1283791670955126,0.0,0.0
16,364.4736842105263,25.263157894736842,4.918490759365935,6.494939371890682,3.708002233144475,-11.564115712792493,0.42909363416196566,5.232078956954491,0.05993567760894247,0.0
17,131.66666666666666,26.666666666666668,1.9544100476116797,2.3094010767585034,1.3333333333333335,45.0,0.42264973081037427,2.111004122822376,0.07417990022744858,0.0
18,346.5,28.5,2.256758334191025,2.0,2.0,-90.0,0.0,2.256758334191025,0.0,0.0
19,141.0,34.333333333333336,2.763953195770684,3.548054573070009,2.639481824539156,35.782525588538995,0.25607631726608315,3.1915382432114616,0.13397459621556135,0.0
20,423.93333333333334,34.266666666666666,4.370193722368317,5.25855452099045,3.569133712945204,27.548752192037632,0.32127095027761415,4.652426491681278,0.06066356337227567,0.0
21,306.90909090909093,38.63636363636363,5.292567428401227,6.889684593300785,4.146492883103404,54.29661202716809,0.3981592586785084,5.698035485213008,0.07115927197435196,0.0
22,358.86206896551727,39.827586206896555,6.076507779746499,7.392377049536701,4.957089647794383,-27.471327519835796,0.32943224965709006,6.530966601401967,0.06958523131291343,0.0
23,416.6,38.4,4.370193722368317,4.618802153517006,4.026578365477733,-44.999999999999964,0.12822021129186523,4.442433223290478,0.01626124632407057,0.0
24,205.52941176470588,39.23529411764706,4.652426491681278,6.1559277452532895,3.5019599005976305,-1.857644552714384,0.4311239433734549,5.108953969950291,0.08935830719051381,0.0
25,347.0,39.75,2.256758334191025,2.8284271247461903,1.7320508075688772,-0.0,0.38762756430420553,2.5231325220201604,0.10557280900008424,0.0
26,387.5,39.5,4.51351666838205,4.47213595499958,4.47213595499958,-90.0,0.0,4.51351666838205,0.0,0.0
27,272.7142857142857,45.904761904761905,5.170882945826411,7.304880108606539,3.7093002041867935,-86.20961569049457,0.4922161419437217,5.641895835477563,0.0834848610088319,0.0
28,378.0,44.285714285714285,2.985410660720923,3.0237157840738176,2.7994168488950604,-0.0,0.07417990022744857,3.1915382432114616,0.0645856533065147,0.0
29,152.11111111111111,47.333333333333336,3.385137501286538,3.885753375057407,2.795442890696133,69.69935267749776,0.280591787260602,3.656366395715726,0.07417990022744857,0.0
30,259.5,47.285714285714285,4.222008245644752,4.20883424647321,4.120630029101702,-0.0,0.020956923510451662,4.370193722368317,0.03390821692070415,0.0
31,405.5,48.5,4.222008245644752,4.780914437337574,3.5456210417116734,45.0,0.2583801512904336,4.370193722368317,0.03390821692070415,0.0
32,416.2,48.6,2.5231325220201604,3.0983866769659336,1.7888543819998317,18.434948822922017,0.42264973081037427,2.6462837142006137,0.04653741075440761,0.0
33,400.6666666666667,53.0,4.787307364817192,5.333333333333333,4.216370213557839,-90.0,0.20943058495790506,4.918490759365935,0.02667147321542483,0.0
34,354.875,56.6875,4.51351666838205,4.712429170543843,4.3566628642353615,-60.76739595259415,0.07549531110881909,4.982787485166879,0.09417837268432341,0.0
